Punteggio Grezzo,Età 3,Età 4,Età 5,Età 6,Età 7,Età 8,Età 9,Età 10,Età 11
0,<5,<5,<5,<5,<5,<5,<5,<5,<5
5,<5,<5,<5,<5,<5,<5,<5,<5,<5
10,5,<5,<5,<5,<5,<5,<5,<5,<5
12,10,5,<5,<5,<5,<5,<5,<5,<5
14,25,10,5,<5,<5,<5,<5,<5,<5
16,50,25,10,5,<5,<5,<5,<5,<5
18,75,50,25,10,5,<5,<5,<5,<5
20,90,75,50,25,10,5,<5,<5,<5
22,95,90,75,50,25,10,5,<5,<5
24,>95,95,90,75,50,25,10,5,<5
26,>95,>95,95,90,75,50,25,10,5
28,>95,>95,>95,95,90,75,50,25,10
30,>95,>95,>95,>95,95,90,75,50,25
32,>95,>95,>95,>95,>95,95,90,75,50
34,>95,>95,>95,>95,>95,>95,95,90,75
36,>95,>95,>95,>95,>95,>95,>95,95,90
